"","AXP","MSFT","GOOG","AMZN","JNJ","HD"
"AXP",0.00322247404702573,0.00062179088099172,0.000482376164048171,0.00141890508659168,-7.85940180582537e-05,0.00150703709570031
"MSFT",0.00062179088099172,0.00259949444596546,0.00251267279761793,0.00247856413085492,0.000165552827663252,0.00122852399807685
"GOOG",0.000482376164048171,0.00251267279761793,0.00335084155528551,0.0029938636356419,0.000337534775544912,0.00183989128146125
"AMZN",0.00141890508659168,0.00247856413085492,0.0029938636356419,0.00660933099961967,0.000305175745775847,0.00207699108671019
"JNJ",-7.85940180582537e-05,0.000165552827663252,0.000337534775544912,0.000305175745775847,0.00134903901211089,0.000271314713295936
"HD",0.00150703709570031,0.00122852399807685,0.00183989128146125,0.00207699108671019,0.000271314713295936,0.00285808489780652
