"","AXP","MSFT","GOOG","AMZN","JNJ","HD"
"1",0.038922028734182,0,0.0862490469482382,0,0.5,0.37482892431758
"2",0.128258521922597,0,0.124651829531907,0,0.5,0.247089648545497
"3",0.217595015111012,0,0.163054612115575,0,0.5,0.119350372773414
"4",0.238531162224393,0.0328279393107108,0.145602108948867,0,0.5,0.0830387895160296
"5",0.232415056303896,0.0786392883813655,0.106058908730112,0,0.5,0.0828867465846272
"6",0.226298950383399,0.12445063745202,0.0665157085113566,0,0.5,0.0827347036532248
"7",0.220182844462902,0.170261986522675,0.0269725082926014,0,0.5,0.0825826607218224
"8",0.2175662162858,0.213117142008848,0,0,0.5,0.0693166417053518
"9",0.222458299085629,0.249629292953953,0,0,0.5,0.0279124079604181
"10",0.209175772016725,0.288445847798528,0,0.00237838018474708,0.5,0
"11",0.197332795995722,0.290907278127623,0,0.0239880624342633,0.487771863442392,0
"12",0.190235404018621,0.298023054502635,0,0.0422592380308732,0.469482303447871,0
"13",0.183138012041521,0.305138830877647,0,0.0605304136274831,0.451192743453349,0
"14",0.17604062006442,0.31225460725266,0,0.078801589224093,0.432903183458827,0
"15",0.16894322808732,0.319370383627672,0,0.0970727648207029,0.414613623464306,0
"16",0.161845836110219,0.326486160002684,0,0.115343940417313,0.396324063469784,0
"17",0.154748444133119,0.333601936377697,0,0.133615116013923,0.378034503475262,0
"18",0.147651052156018,0.340717712752709,0,0.151886291610533,0.35974494348074,0
"19",0.140553660178917,0.347833489127722,0,0.170157467207143,0.341455383486218,0
"20",0.133456268201817,0.354949265502734,0,0.188428642803753,0.323165823491697,0
"21",0.126358876224716,0.362065041877746,0,0.206699818400363,0.304876263497175,0
"22",0.119261484247616,0.369180818252758,0,0.224970993996973,0.286586703502653,0
"23",0.112164092270515,0.376296594627771,0,0.243242169593583,0.268297143508132,0
"24",0.105066700293415,0.383412371002783,0,0.261513345190193,0.25000758351361,0
"25",0.0979693083163141,0.390528147377795,0,0.279784520786803,0.231718023519088,0
"26",0.0908719163392137,0.397643923752808,0,0.298055696383413,0.213428463524566,0
"27",0.0837745243621131,0.40475970012782,0,0.316326871980022,0.195138903530045,0
"28",0.0766771323850126,0.411875476502832,0,0.334598047576632,0.176849343535523,0
"29",0.069579740407912,0.418991252877845,0,0.352869223173242,0.158559783541001,0
"30",0.0624823484308115,0.426107029252857,0,0.371140398769852,0.140270223546479,0
"31",0.0553849564537111,0.433222805627869,0,0.389411574366462,0.121980663551958,0
"32",0.0482875644766103,0.440338582002882,0,0.407682749963072,0.103691103557436,0
"33",0.0411901724995098,0.447454358377894,0,0.425953925559682,0.0854015435629139,0
"34",0.0340927805224093,0.454570134752906,0,0.444225101156292,0.0671119835683921,0
"35",0.0269953885453089,0.461685911127919,0,0.462496276752902,0.0488224235738706,0
"36",0.0198979965682082,0.468801687502931,0,0.480767452349512,0.0305328635793486,0
"37",0.0128006045911077,0.475917463877943,0,0.499038627946122,0.0122433035848269,0
